node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
awesome-wechat-weapp	https://github.com/justjavac/awesome-wechat-weapp	232	0	24	208	5708	9	151	1	0	0	0	0	0	1701	28046	21
cpython	https://github.com/python/cpython	16981	972	2295	13714	11908	375	978	118	0	0	0	19	0	1112	27423	1811
clipboard.js	https://github.com/zenorocha/clipboard.js	141	12	69	60	3226	18	50	2	511	511	63	1	35	443	27295	0
fastlane	https://github.com/fastlane/fastlane	5636	63	862	4711	4067	214	939	29	9869	9869	166	8	413	722	27236	186
lottie-android	https://github.com/airbnb/lottie-android	380	0	47	333	4253	20	118	40	1030	1030	30	5	21	836	27212	62
Best-websites-a-programmer-should-visit	https://github.com/sdmg15/Best-websites-a-programmer-should-visit	323	46	48	229	2653	13	152	1	42	42	0	0	0	1080	27117	21
faceswap	https://github.com/deepfakes/faceswap	375	8	90	277	8631	50	64	7	538	538	10	2	2	1315	27025	380
es6features	https://github.com/lukehoban/es6features	75	20	14	41	2394	11	38	1	55	55	19	0	0	1274	26965	0
100-Days-Of-ML-Code	https://github.com/Avik-Jain/100-Days-Of-ML-Code	34	23	5	6	6485	5	7	1	40	40	27	1	0	2251	26885	0
deeplearningbook-chinese	https://github.com/exacity/deeplearningbook-chinese	32	4	13	15	7629	13	16	7	170	170	40	4	7	2211	26855	1
free-for-dev	https://github.com/ripienaar/free-for-dev	1125	5	208	912	2566	19	577	3	131	131	18	1	0	1138	26755	332
incubator-superset	https://github.com/apache/incubator-superset	4490	61	868	3561	5087	108	438	34	3909	3909	182	9	11	1228	26663	419
design-patterns-for-humans	https://github.com/kamranahmedse/design-patterns-for-humans	69	4	18	47	2347	5	43	1	46	46	6	0	0	1104	26451	0
HEAD	https://github.com/joshbuchea/HEAD	133	7	46	80	1544	12	59	3	79	79	9	0	0	789	26361	3
styled-components	https://github.com/styled-components/styled-components	957	19	227	711	1485	41	286	196	1866	1866	82	3	95	387	26346	37
clean-code-javascript	https://github.com/ryanmcdermott/clean-code-javascript	194	10	56	128	2523	9	93	1	74	74	17	1	0	948	26224	10
certbot	https://github.com/certbot/certbot	3329	74	609	2646	2590	238	381	35	4135	4135	521	9	0	864	25823	259
project-based-learning	https://github.com/tuvtran/project-based-learning	174	45	15	114	4232	10	56	1	25	25	12	0	0	1306	25804	16
mermaid	https://github.com/knsv/mermaid	264	2	35	227	1536	34	116	12	774	774	78	4	36	524	25748	442
awesome-react-native	https://github.com/jondot/awesome-react-native	902	34	68	800	3014	0	504	1	49	49	16	3	0	1110	25682	130
traefik	https://github.com/containous/traefik	2669	23	351	2295	2608	35	438	22	3074	3074	444	8	266	688	25553	328
svelte	https://github.com/sveltejs/svelte	1637	38	179	1420	1024	56	227	15	2162	2162	366	6	0	507	25511	1090
godot	https://github.com/godotengine/godot	12496	338	1972	10186	4728	1283	974	43	19796	19796	5338	11	23	1280	25427	3670
algorithm-visualizer	https://github.com/algorithm-visualizer/algorithm-visualizer	209	1	31	177	3949	6	22	5	60	60	8	5	0	975	25284	30
AndroidUtilCode	https://github.com/Blankj/AndroidUtilCode	151	3	86	62	8063	2	23	1	918	918	31	3	111	1121	25177	98
proxyee-down	https://github.com/proxyee-down-org/proxyee-down	33	0	17	16	4570	7	9	3	0	0	0	4	49	980	25175	2
awesome-awesomeness	https://github.com/bayandin/awesome-awesomeness	343	0	185	158	3026	1	213	5	53	53	5	1	0	1725	25125	24
og-aws	https://github.com/open-guides/og-aws	528	3	61	464	2167	8	198	18	195	195	117	1	0	1062	25104	23
CppCoreGuidelines	https://github.com/isocpp/CppCoreGuidelines	779	8	161	610	3190	80	245	9	758	758	145	3	4	1998	24849	56
ShadowsocksX-NG	https://github.com/shadowsocks/ShadowsocksX-NG	100	3	41	56	5093	10	27	18	1059	1059	125	7	24	938	24729	27
caddy	https://github.com/caddyserver/caddy	1034	7	213	814	1928	130	278	21	1794	1794	98	3	53	706	24673	42
slick	https://github.com/kenwheeler/slick	633	180	219	234	4922	87	148	5	3235	3235	929	5	48	622	24596	3
nylas-mail	https://github.com/nylas/nylas-mail	251	31	81	139	1296	91	139	47	3419	3419	1009	9	53	468	24438	0
Rocket.Chat	https://github.com/RocketChat/Rocket.Chat	5829	239	779	4811	5100	195	588	32	9725	9725	1940	8	288	934	24416	614
programmer-job-blacklist	https://github.com/shengxinjing/programmer-job-blacklist	39	6	17	16	1530	1	16	2	275	275	108	1	0	1241	24400	0
Deep-Learning-Papers-Reading-Roadmap	https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap	73	36	15	22	5042	0	22	1	40	40	37	1	0	2149	24383	0
code-server	https://github.com/cdr/code-server	233	4	91	138	1579	19	70	14	891	891	206	6	29	445	24330	286
gold-miner	https://github.com/xitu/gold-miner	2386	12	226	2148	3845	18	449	78	4071	4071	22	0	0	1250	24328	579
preact	https://github.com/preactjs/preact	1026	51	320	655	1206	33	203	21	1028	1028	85	2	116	440	24282	766
angular-styleguide	https://github.com/johnpapa/angular-styleguide	443	17	95	331	4318	17	184	1	423	423	62	0	0	1414	24202	0
spark	https://github.com/apache/spark	26276	474	25799	3	19554	1031	988	44	0	0	0	21	0	2135	23996	1310
mall	https://github.com/macrozheng/mall	27	2	25	0	9507	4	1	1	187	187	17	2	0	1282	23957	62
dayjs	https://github.com/iamkun/dayjs	412	17	64	331	1110	15	156	1	289	289	49	1	67	261	23937	35
react-boilerplate	https://github.com/react-boilerplate/react-boilerplate	1085	4	383	698	4535	95	222	19	1707	1707	19	2	16	573	23829	0
leakcanary	https://github.com/square/leakcanary	563	4	78	481	3454	11	96	145	1036	1036	34	2	17	1053	23829	287
kong	https://github.com/Kong/kong	2525	39	793	1693	2902	580	179	102	2638	2638	300	4	66	1004	23806	504
grpc	https://github.com/grpc/grpc	13072	225	2325	10522	5518	273	529	101	7776	7776	699	25	127	1152	23703	3197
the-book-of-secret-knowledge	https://github.com/trimstray/the-book-of-secret-knowledge	85	1	18	66	2281	2	50	1	26	26	2	0	0	912	23650	167
v2ray-core	https://github.com/v2ray/v2ray-core	209	4	78	127	5152	23	54	17	1733	1733	129	4	232	1092	23606	87
weui	https://github.com/Tencent/weui	235	6	68	161	5634	21	25	7	582	582	10	3	15	1602	23401	77
vue-cli	https://github.com/vuejs/vue-cli	1045	53	231	761	4030	97	308	16	3712	3712	352	7	111	635	23180	378
awesome-flutter	https://github.com/Solido/awesome-flutter	513	25	216	272	2944	6	205	2	0	0	0	1	0	1164	22972	240
pure-bash-bible	https://github.com/dylanaraps/pure-bash-bible	44	10	9	25	1783	0	19	2	41	41	19	1	0	631	22968	50
fetch	https://github.com/github/fetch	236	3	118	115	2036	36	100	44	482	482	8	2	27	486	22810	1
machine-learning-for-software-engineers	https://github.com/ZuzooVn/machine-learning-for-software-engineers	67	3	14	50	4709	1	29	1	13	13	10	0	0	1559	22763	2
JCSprout	https://github.com/crossoverJie/JCSprout	102	6	27	69	6220	7	23	1	82	82	26	1	0	1599	22755	27
awesome-java	https://github.com/akullpp/awesome-java	704	9	197	498	4579	9	256	5	90	90	1	0	0	2109	22710	66
iview	https://github.com/iview/iview	1009	81	411	517	4059	40	157	12	5335	5335	966	3	83	806	22699	0
standard	https://github.com/standard/standard	401	7	113	281	1607	82	139	29	1034	1034	86	2	1	462	22625	245
angular-cli	https://github.com/angular/angular-cli	4975	27	1427	3521	7668	202	491	46	10922	10922	561	8	221	1217	22512	918
taro	https://github.com/NervJS/taro	718	48	166	504	2515	76	236	28	3961	3961	624	4	0	646	22380	1041
awesome-scalability	https://github.com/binhnguyennus/awesome-scalability	34	5	11	18	2335	1	11	1	0	0	0	0	0	1334	22371	125
hangzhou_house_knowledge	https://github.com/houshanren/hangzhou_house_knowledge	11	7	0	4	4455	6	5	1	0	0	0	2	0	1274	22370	5
awesome-cpp	https://github.com/fffaraz/awesome-cpp	489	42	77	370	3840	8	235	3	419	419	281	0	0	1834	22353	79
ant-design-pro	https://github.com/ant-design/ant-design-pro	972	6	293	673	5007	385	240	35	4493	4493	102	5	17	708	22248	205
Detectron	https://github.com/facebookresearch/Detectron	92	20	72	0	4746	12	50	375	848	848	261	7	0	987	22242	6
vuetify	https://github.com/vuetifyjs/vuetify	2549	45	585	1919	2970	162	391	19	6910	6910	946	7	282	554	22240	1316
styleguide	https://github.com/google/styleguide	266	116	64	86	7669	15	65	19	213	213	146	8	0	1291	22232	0
awesome-macos-command-line	https://github.com/herrbischoff/awesome-macos-command-line	167	9	67	91	1189	10	72	2	0	0	0	0	0	729	21985	20
vuex	https://github.com/vuejs/vuex	684	64	131	489	7181	21	261	16	938	938	99	3	31	806	21970	0
carbon	https://github.com/carbon-app/carbon	497	5	78	414	1043	7	117	4	386	386	16	1	136	238	21948	342
Hover	https://github.com/IanLunn/Hover	57	14	21	22	4701	3	21	1	95	95	16	3	10	860	21909	0
Charts	https://github.com/danielgindi/Charts	709	50	310	349	4097	102	119	5	3489	3489	441	5	30	620	21812	29
front-end-interview-handbook	https://github.com/yangshun/front-end-interview-handbook	166	6	19	141	2712	8	67	2	52	52	19	1	0	684	21746	27
interview_internal_reference	https://github.com/0voice/interview_internal_reference	33	0	3	30	5692	6	22	7	27	27	11	1	0	1039	21653	298
swift-algorithm-club	https://github.com/raywenderlich/swift-algorithm-club	724	31	118	575	3585	10	243	16	173	173	16	4	0	1474	21601	17
gitbook	https://github.com/GitbookIO/gitbook	372	59	99	214	2994	67	101	11	0	0	0	1	0	733	21534	0
leetcode	https://github.com/azl397985856/leetcode	137	0	22	115	3735	3	29	1	78	78	27	1	9	823	21471	298
open-source-ios-apps	https://github.com/dkhamsing/open-source-ios-apps	599	0	81	518	3376	181	246	3	197	197	2	3	32	1176	21465	287
uppy	https://github.com/transloadit/uppy	973	7	75	891	1067	271	161	10	943	943	67	7	23	345	21247	565
nativefier	https://github.com/jiahaog/nativefier	173	8	35	130	1189	8	93	2	698	698	185	5	29	412	21100	10
tidb	https://github.com/pingcap/tidb	9625	128	970	8527	3082	364	409	159	3371	3371	994	5	73	1273	21080	1087
libpku	https://github.com/lib-pku/libpku	21	0	4	17	6519	0	13	2	30	30	2	2	0	1044	21079	22
practicalAI	https://github.com/practicalAI/practicalAI	139	2	15	122	3732	4	23	1	13	13	1	1	0	1035	21004	28
iina	https://github.com/iina/iina	541	21	179	341	1559	79	76	5	2069	2069	708	6	27	515	20987	10
mkcert	https://github.com/FiloSottile/mkcert	66	6	25	35	760	5	28	1	137	137	24	2	10	381	20855	23
AiLearning	https://github.com/apachecn/AiLearning	481	0	46	435	7098	19	97	72	76	76	29	2	2	1324	20829	18
nest	https://github.com/nestjs/nest	1205	34	187	984	1541	18	123	6	1967	1967	75	3	46	534	20794	1603
mobx	https://github.com/mobxjs/mobx	757	7	100	650	1242	47	383	42	1419	1419	30	4	1	395	20725	134
chinese-poetry	https://github.com/chinese-poetry/chinese-poetry	67	0	10	57	3528	7	24	3	89	89	31	2	1	761	20658	73
scrcpy	https://github.com/Genymobile/scrcpy	66	11	35	20	1775	8	26	29	828	828	327	6	12	534	20619	178
PythonDataScienceHandbook	https://github.com/jakevdp/PythonDataScienceHandbook	106	63	15	28	8011	2	16	1	102	102	57	5	0	1336	20528	0
linux-insides	https://github.com/0xAX/linux-insides	542	2	59	481	2063	2	250	2	149	149	32	3	0	1327	20339	28
